epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7013,2.24449,3.29677,1.86162,0.0033,0.15813,0.00207,0.00043,3.13072,4.10501,2.54232,0.09109,9e-05,9e-05
2,25.4534,1.86741,2.38658,1.5114,0.00041,0.05238,0.00048,7e-05,3.08853,5.14578,2.84297,0.0811881,0.000188119,0.000188119
3,33.9891,1.74622,2.14714,1.43823,0.07807,0.46951,0.09629,0.0269,2.45795,3.82336,2.26927,0.0712843,0.000284258,0.000284258
4,41.1618,1.66388,1.90205,1.41671,0.03732,0.8206,0.24006,0.09477,2.02578,3.21226,1.90524,0.0613784,0.000378417,0.000378417
5,49.5226,1.61851,1.75496,1.41176,0.49492,0.42046,0.31307,0.1119,2.09414,2.81702,1.89743,0.0514706,0.000470596,0.000470596
6,56.5245,1.583,1.68847,1.40284,0.77054,0.18988,0.45823,0.20014,1.72834,2.52408,1.53496,0.0415608,0.000560795,0.000560795
7,62.9166,1.52569,1.5839,1.34729,0.58025,0.43383,0.52513,0.28052,1.51919,2.10512,1.40649,0.031649,0.000649014,0.000649014
8,71.1481,1.47637,1.54399,1.33728,0.52233,0.51796,0.52217,0.22678,1.72212,2.01179,1.52785,0.0217353,0.000735253,0.000735253
9,76.826,1.45854,1.48067,1.30805,0.42586,0.52981,0.51615,0.24014,1.6563,1.90643,1.45718,0.0118195,0.000819512,0.000819512
10,84.9175,1.47358,1.45501,1.31802,0.54496,0.66116,0.65731,0.34708,1.57492,1.64666,1.44915,0.00190179,0.000901791,0.000901791
11,91.192,1.48415,1.46167,1.32486,0.59412,0.62403,0.67145,0.35677,1.51404,1.61196,1.37531,0.000901,0.000901,0.000901
12,97.5115,1.411,1.39509,1.28872,0.65736,0.81673,0.74651,0.42845,1.43112,1.38542,1.38317,0.0008911,0.0008911,0.0008911
13,105.207,1.41919,1.40864,1.29341,0.67917,0.77976,0.7441,0.45776,1.34118,1.2948,1.30984,0.0008812,0.0008812,0.0008812
14,111.079,1.35701,1.37247,1.26686,0.70725,0.69715,0.70003,0.41987,1.38254,1.49332,1.41618,0.0008713,0.0008713,0.0008713
15,120.115,1.36109,1.32546,1.25397,0.56641,0.58542,0.61554,0.34283,1.52734,1.69692,1.51949,0.0008614,0.0008614,0.0008614
16,126.54,1.34304,1.31715,1.25282,0.66161,0.71913,0.74228,0.40428,1.47315,1.41571,1.4501,0.0008515,0.0008515,0.0008515
17,133.716,1.31164,1.28169,1.24051,0.74338,0.63869,0.69572,0.42556,1.32847,1.35282,1.37392,0.0008416,0.0008416,0.0008416
18,140.821,1.30942,1.27918,1.23535,0.65502,0.71993,0.76253,0.47903,1.26799,1.25577,1.32217,0.0008317,0.0008317,0.0008317
19,146.568,1.27236,1.25917,1.22325,0.66494,0.71018,0.76131,0.46834,1.26074,1.32044,1.31632,0.0008218,0.0008218,0.0008218
20,154.653,1.25981,1.23202,1.2098,0.74305,0.65487,0.75865,0.46068,1.37774,1.32769,1.41251,0.0008119,0.0008119,0.0008119
21,160.489,1.24631,1.2026,1.20626,0.73159,0.72169,0.76741,0.48868,1.30262,1.19652,1.35836,0.000802,0.000802,0.000802
22,167.446,1.27561,1.21708,1.21962,0.69782,0.79136,0.77362,0.52322,1.15124,1.1003,1.26003,0.0007921,0.0007921,0.0007921
23,174.701,1.24944,1.17977,1.20158,0.77383,0.79471,0.82269,0.53889,1.14367,1.06158,1.24062,0.0007822,0.0007822,0.0007822
24,180.806,1.22881,1.1966,1.19848,0.77557,0.81493,0.8234,0.53667,1.14093,1.04464,1.25834,0.0007723,0.0007723,0.0007723
25,189.544,1.20945,1.15678,1.18617,0.80283,0.81144,0.84438,0.54616,1.17914,0.97873,1.25686,0.0007624,0.0007624,0.0007624
26,195.428,1.19529,1.1403,1.17349,0.77924,0.72951,0.78895,0.5174,1.1806,1.11158,1.26487,0.0007525,0.0007525,0.0007525
27,203.254,1.18387,1.13436,1.18178,0.80317,0.79179,0.85726,0.57158,1.11521,0.9514,1.23431,0.0007426,0.0007426,0.0007426
28,209.815,1.17972,1.10146,1.1735,0.80295,0.76042,0.83501,0.5386,1.23659,1.08511,1.30002,0.0007327,0.0007327,0.0007327
29,216.256,1.16555,1.09378,1.15701,0.71673,0.80617,0.83515,0.56619,1.09085,1.0358,1.22361,0.0007228,0.0007228,0.0007228
30,224.191,1.17032,1.10935,1.1659,0.79266,0.70743,0.81154,0.54644,1.18527,1.18725,1.28773,0.0007129,0.0007129,0.0007129
31,230.131,1.16251,1.10051,1.16307,0.76377,0.78757,0.80541,0.54195,1.14374,1.11461,1.25132,0.000703,0.000703,0.000703
32,238.324,1.15482,1.08723,1.15535,0.78505,0.74584,0.78916,0.54375,1.09005,1.06993,1.25283,0.0006931,0.0006931,0.0006931
